Artist URI|Artist Name|Album URI
3Un18X4NF1bpjgUk44lUzn|The Gun Club|6wimrv3thrIkoAqd0Dawun
3Un18X4NF1bpjgUk44lUzn|The Gun Club|1ynbBCbBUNTkyEayJIbSIH
3Un18X4NF1bpjgUk44lUzn|The Gun Club|2ba3njscnuM9rQzvrGCT6S
3Un18X4NF1bpjgUk44lUzn|The Gun Club|59HESqIp8rfYOqx2Z9QoeW
3Un18X4NF1bpjgUk44lUzn|The Gun Club|6nNtAiTBSTFv5LubcsOILo
3Un18X4NF1bpjgUk44lUzn|The Gun Club|27J2dvRWyDG6Pe90DWSyhb
3Un18X4NF1bpjgUk44lUzn|The Gun Club|4ppgOdQ3yY7oHjI1qCbuZE
3Un18X4NF1bpjgUk44lUzn|The Gun Club|1dtY3jgpXHSZap33bF0HW9
5ZjKW4JhcFuOXLpuJrr8wJ|The Holy Modal Rounders|0xdQ5OCQq1pAiOJxyOh7FK
5ZjKW4JhcFuOXLpuJrr8wJ|The Holy Modal Rounders|2qy15F1QFScHIKIgiW3Xgs
5ZjKW4JhcFuOXLpuJrr8wJ|The Holy Modal Rounders|32k936pERAnNLWxmNxWgET
5ZjKW4JhcFuOXLpuJrr8wJ|The Holy Modal Rounders|4AdoiC9T0ZmssAuNNtQhVg
5ZjKW4JhcFuOXLpuJrr8wJ|The Holy Modal Rounders|4bdyMHVnrUSGolZHtcxpNA
5ZjKW4JhcFuOXLpuJrr8wJ|The Holy Modal Rounders|0hWVhi9AAhKKPMY84d55VP
5ZjKW4JhcFuOXLpuJrr8wJ|The Holy Modal Rounders|3agobyH5tC1UjhwcKUouaz
5ZjKW4JhcFuOXLpuJrr8wJ|The Holy Modal Rounders|4Aq89BwxSG0e0cePvALSJK
5ZjKW4JhcFuOXLpuJrr8wJ|The Holy Modal Rounders|5A7ZjYdiiYCRbvC8ur9nL4
0M8vmAoCjuToWA2ttqiw3h|Iqbal|2ahWLWift7JNzk2DjWavSR
0M8vmAoCjuToWA2ttqiw3h|Iqbal|1bgMt0VyWHkfRMhEFBnDAQ
0M8vmAoCjuToWA2ttqiw3h|Iqbal|5z9aik3S5lZRP1V4SsTZPe
0M8vmAoCjuToWA2ttqiw3h|Iqbal|6xi4e7wilF1paBefVsVHpa
0M8vmAoCjuToWA2ttqiw3h|Iqbal|1bWytmNHpYNczNfMsWNRdK
0M8vmAoCjuToWA2ttqiw3h|Iqbal|6pbe2zJdMrfwMH4WCStZae
0M8vmAoCjuToWA2ttqiw3h|Iqbal|0qc3WsyT13IJWuJlDM9UFn
0M8vmAoCjuToWA2ttqiw3h|Iqbal|6MyZ4JTqLoUfO6I1T6xvYH
0M8vmAoCjuToWA2ttqiw3h|Iqbal|4RNq5p2GlSnQbzzycZbYK6
3WaJSfKnzc65VDgmj2zU8B|Interpol|1LINxDMagUFRCw8VYbLBGL
3WaJSfKnzc65VDgmj2zU8B|Interpol|22g9LxfQBY5JMeILNoBt5C
3WaJSfKnzc65VDgmj2zU8B|Interpol|4QuNiDWbkpcSYDZd0H7zwN
3WaJSfKnzc65VDgmj2zU8B|Interpol|2oK42GfqQAuQMiFTKxQD3P
3WaJSfKnzc65VDgmj2zU8B|Interpol|0PNquUhkW8X80jKMEHXs5F
3WaJSfKnzc65VDgmj2zU8B|Interpol|62V8mwJS5II3vqHayQpjlX
